iter	Logloss
0	0.6704680579
1	0.6520684106
2	0.6311890738
3	0.6112602098
4	0.5920726231
5	0.576584271
6	0.558988503
7	0.5421794823
8	0.5261155537
9	0.5107576506
10	0.496068682
11	0.4819270543
12	0.4683219705
13	0.4572840418
14	0.4449899878
15	0.4329617364
16	0.4231414454
17	0.4120010308
18	0.4010040079
19	0.3861661639
20	0.3747559275
21	0.3654985428
22	0.3579224859
23	0.3505902972
24	0.3422429902
25	0.3354075977
26	0.3287867478
27	0.3223718575
28	0.3147826195
29	0.3059600081
30	0.3002393586
31	0.2946899278
32	0.2893052442
33	0.2831474032
34	0.2750593594
35	0.2702436447
36	0.2627329656
37	0.2582655123
38	0.2539225306
39	0.2489366191
40	0.2419524193
41	0.2380512101
42	0.2335776602
43	0.2298983165
44	0.2263157197
45	0.222204583
46	0.2182222434
47	0.2142272847
48	0.2096937554
49	0.2066243717
50	0.2036311456
51	0.2007114206
52	0.1973405566
53	0.1931999411
54	0.1905282566
55	0.186887673
56	0.1843634333
57	0.1818978446
58	0.1789041417
59	0.1760009698
60	0.1733082363
61	0.1701343911
62	0.1679894243
63	0.1655074869
64	0.1630860908
65	0.1607307877
66	0.158786927
67	0.1568842445
68	0.1533945969
69	0.1516045843
70	0.1498512881
71	0.1470005001
72	0.1453399147
73	0.1429958003
74	0.141414438
75	0.1392116887
76	0.1374224595
77	0.1352831296
78	0.1335828985
79	0.1306671671
80	0.1293181011
81	0.1277520827
82	0.1255773306
83	0.1234737124
84	0.1222543631
85	0.1210565908
86	0.1198801058
87	0.1187240396
88	0.1168174233
89	0.1157140902
90	0.1146296092
91	0.1135634695
92	0.1122362784
93	0.1107465199
94	0.1084640452
95	0.1070696456
96	0.1054784911
97	0.1039231845
98	0.1018811124
99	0.1006367377
