iter	Passed	Remaining
0	6	671
1	14	691
2	19	641
3	26	630
4	34	656
5	41	654
6	47	626
7	51	593
8	58	593
9	64	577
10	71	575
11	78	573
12	83	555
13	89	552
14	93	529
15	98	515
16	105	513
17	112	512
18	117	501
19	121	486
20	125	471
21	129	460
22	135	455
23	142	450
24	147	443
25	154	440
26	161	437
27	168	432
28	174	427
29	179	418
30	186	414
31	193	411
32	200	407
33	204	397
34	209	389
35	217	387
36	223	380
37	230	376
38	237	371
39	244	367
40	249	359
41	257	355
42	261	346
43	268	342
44	278	339
45	283	333
46	291	328
47	295	320
48	300	313
49	308	308
50	316	304
51	321	296
52	326	289
53	333	284
54	340	278
55	346	272
56	351	265
57	357	258
58	363	252
59	370	246
60	377	241
61	381	234
62	388	228
63	395	222
64	400	215
65	407	209
66	414	204
67	421	198
68	425	191
69	432	185
70	438	179
71	445	173
72	452	167
73	459	161
74	464	154
75	467	147
76	473	141
77	477	134
78	484	128
79	491	122
80	498	116
81	502	110
82	507	103
83	513	97
84	520	91
85	527	85
86	533	79
87	540	73
88	547	67
89	553	61
90	558	55
91	565	49
92	571	43
93	583	37
94	594	31
95	610	25
96	623	19
97	627	12
98	631	6
99	635	0
